color,word,ans,congruent,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,stim.started,stim.stopped,cross.started,cross.stopped,response.keys,response.corr,response.rt,response.started,response.stopped,sync.started,sync.stopped,participant,session,date,expName,psychopyVersion,frameRate,
red,green,r,0,8,0,128,5,363.5037064169880,None,361.52628708399400,363.537441249995,r,1,0.735487625002861,363.5037064169880,None,363.5037064169880,363.6041274589950,g,1,2022_Mar_02_1342,hw_test,2021.2.3,60.000164760729100,
red,yellow,r,0,8,1,129,4,366.2539280839990,None,364.2709607089930,366.2704162919980,r,1,0.951628166003502,366.2539280839990,None,366.2539280839990,366.353573083994,g,1,2022_Mar_02_1342,hw_test,2021.2.3,60.000164760729100,
red,yellow,r,0,8,2,130,4,369.2210631249910,None,367.2366676669920,369.23671225,r,1,0.958995540990145,369.2210631249910,None,369.2210631249910,369.320497083987,g,1,2022_Mar_02_1342,hw_test,2021.2.3,60.000164760729100,
red,blue,r,0,8,3,131,6,372.1870959999940,None,370.20433324998900,372.20385899998700,r,1,0.48952437400294,372.1870959999940,None,372.1870959999940,372.286890791991,g,1,2022_Mar_02_1342,hw_test,2021.2.3,60.000164760729100,
green,blue,g,0,8,4,132,12,374.68719524999300,None,372.70345345899100,374.7035254589860,g,1,0.8137465409963630,374.68719524999300,None,374.68719524999300,374.7870314170000,g,1,2022_Mar_02_1342,hw_test,2021.2.3,60.000164760729100,
blue,red,b,0,8,5,133,13,377.5032654589890,None,375.5207667090000,377.5201367499980,b,1,0.6429993329948050,377.5032654589890,None,377.5032654589890,377.60376383399100,g,1,2022_Mar_02_1342,hw_test,2021.2.3,60.000164760729100,
blue,red,b,0,8,6,134,13,380.1534281249920,None,378.17002479199400,380.17021883399900,b,1,0.6964812079968400,380.1534281249920,None,380.1534281249920,380.25372558400000,g,1,2022_Mar_02_1342,hw_test,2021.2.3,60.000164760729100,
blue,yellow,b,0,8,7,135,14,382.8538649999970,None,380.8712058749950,382.8700649999960,b,1,0.39651120800408500,382.8538649999970,None,382.8538649999970,382.9536731669940,g,1,2022_Mar_02_1342,hw_test,2021.2.3,60.000164760729100,
red,yellow,r,0,8,8,136,4,385.2538197089890,None,383.27033049998900,385.27045270899500,r,1,0.5143187069916170,385.2538197089890,None,385.2538197089890,385.3537989589970,g,1,2022_Mar_02_1342,hw_test,2021.2.3,60.000164760729100,
yellow,blue,y,0,8,9,137,9,387.7699563339990,None,385.7873413339990,387.78667366699700,y,1,0.5975181659887310,387.7699563339990,None,387.7699563339990,387.8703353749880,g,1,2022_Mar_02_1342,hw_test,2021.2.3,60.000164760729100,
blue,red,b,0,8,10,138,13,390.37019583399500,None,388.38704495898900,390.3870361249870,b,1,0.8462991659907860,390.37019583399500,None,390.37019583399500,390.4703847919880,g,1,2022_Mar_02_1342,hw_test,2021.2.3,60.000164760729100,
red,red,r,1,8,11,139,0,393.2199497919940,None,391.2371852919900,393.23693116699000,r,1,0.501859541007434,393.2199497919940,None,393.2199497919940,393.3203277089920,g,1,2022_Mar_02_1342,hw_test,2021.2.3,60.000164760729100,
red,red,r,1,8,12,140,0,395.7368223749950,None,393.75343162499500,395.75371999999300,r,1,0.48723912400601000,395.7368223749950,None,395.7368223749950,395.8370547089870,g,1,2022_Mar_02_1342,hw_test,2021.2.3,60.000164760729100,
blue,blue,b,1,8,13,141,3,398.23733512499900,None,396.25344799998900,398.25408712499500,b,1,0.5789852500020060,398.23733512499900,None,398.23733512499900,398.3374569999870,g,1,2022_Mar_02_1342,hw_test,2021.2.3,60.000164760729100,
red,blue,r,0,8,14,142,6,400.82033379199900,None,398.8369095419910,400.83712787499800,r,1,0.7191483740025430,400.82033379199900,None,400.82033379199900,400.92020262499900,g,1,2022_Mar_02_1342,hw_test,2021.2.3,60.000164760729100,
red,yellow,r,0,8,15,143,4,403.55403804199900,None,401.5712376249870,403.57010991699600,r,1,0.4865575409930900,403.55403804199900,None,403.55403804199900,403.65369875000000,g,1,2022_Mar_02_1342,hw_test,2021.2.3,60.000164760729100,
blue,red,b,0,9,0,144,13,406.0537774169930,None,404.07051554200000,406.07093916699500,b,1,0.5792310830001950,406.0537774169930,None,406.0537774169930,406.15400108399600,g,1,2022_Mar_02_1342,hw_test,2021.2.3,60.000164760729100,
yellow,green,y,0,9,1,145,8,408.63663745900000,None,406.65375849999000,408.6536769999950,y,1,0.49819491599919300,408.63663745900000,None,408.63663745900000,408.737328541989,g,1,2022_Mar_02_1342,hw_test,2021.2.3,60.000164760729100,
green,red,g,0,9,2,146,10,411.13723441699400,None,409.1541329170000,411.153592208997,g,1,0.6755856660020070,411.13723441699400,None,411.13723441699400,411.2370754589940,g,1,2022_Mar_02_1342,hw_test,2021.2.3,60.000164760729100,
green,red,g,0,9,3,147,10,413.82063649999300,None,411.83684937498800,413.8370242089880,g,1,0.44903645699378100,413.82063649999300,None,413.82063649999300,413.9203425839950,g,1,2022_Mar_02_1342,hw_test,2021.2.3,60.000164760729100,
blue,red,b,0,9,4,148,13,416.2702375839870,None,414.2869910419980,416.28706716699500,b,1,0.6927950410026820,416.2702375839870,None,416.2702375839870,416.37026020899100,g,1,2022_Mar_02_1342,hw_test,2021.2.3,60.000164760729100,
yellow,yellow,y,1,9,5,149,1,418.97088933399900,None,416.98793262499400,418.98710533398800,y,1,0.5111364579934160,418.97088933399900,None,418.97088933399900,419.07034824999600,g,1,2022_Mar_02_1342,hw_test,2021.2.3,60.000164760729100,
blue,red,b,0,9,6,150,13,421.48705395899000,None,419.5037617499910,421.5036739169880,b,1,0.9990910409978820,421.48705395899000,None,421.48705395899000,421.5867329170000,g,1,2022_Mar_02_1342,hw_test,2021.2.3,60.000164760729100,
yellow,yellow,y,1,9,7,151,1,424.48707762498800,None,422.50457799999300,424.5038523339900,y,1,0.538748332997784,424.48707762498800,None,424.48707762498800,424.58678645899600,g,1,2022_Mar_02_1342,hw_test,2021.2.3,60.000164760729100,
yellow,blue,y,0,9,8,152,9,427.03689183399500,None,425.0536011669900,427.05344433400000,y,1,0.51287529100955,427.03689183399500,None,427.03689183399500,427.13705325000000,g,1,2022_Mar_02_1342,hw_test,2021.2.3,60.000164760729100,
blue,yellow,b,0,9,9,153,14,429.5536165839880,None,427.5708814589890,429.57078924999200,b,1,0.6312344990001290,429.5536165839880,None,429.5536165839880,429.6537614999980,g,1,2022_Mar_02_1342,hw_test,2021.2.3,60.000164760729100,
green,red,g,0,9,10,154,10,432.18718691699900,None,430.20497341700000,432.22040995898700,g,1,0.5856269989890280,432.18718691699900,None,432.18718691699900,432.2871213749900,g,1,2022_Mar_02_1342,hw_test,2021.2.3,60.000164760729100,
green,green,g,1,9,11,155,2,434.7871004169870,None,432.8033464170000,434.80366012499100,g,1,0.638569707996794,434.7871004169870,None,434.7871004169870,434.88706116699900,g,1,2022_Mar_02_1342,hw_test,2021.2.3,60.000164760729100,
red,blue,r,0,9,12,156,6,437.4366368339980,None,435.45392645899800,437.4536047089930,r,1,0.5631652070005660,437.4366368339980,None,437.4366368339980,437.5373836669900,g,1,2022_Mar_02_1342,hw_test,2021.2.3,60.000164760729100,
blue,blue,b,1,9,13,157,3,440.0041445839890,None,438.02032424999900,440.02038904199400,b,1,1.31764262499928,440.0041445839890,None,440.0041445839890,440.1036222919940,g,1,2022_Mar_02_1342,hw_test,2021.2.3,60.000164760729100,
yellow,red,y,0,9,14,158,7,443.33668724999000,None,441.35427562499500,443.35337629199800,y,1,0.6579934990004400,443.33668724999000,None,443.33668724999000,443.43700291699500,g,1,2022_Mar_02_1342,hw_test,2021.2.3,60.000164760729100,
green,green,g,1,9,15,159,2,446.00419133399600,None,444.02057804199300,446.02028420899300,g,1,0.5645702909969260,446.00419133399600,None,446.00419133399600,446.10362349999200,g,1,2022_Mar_02_1342,hw_test,2021.2.3,60.000164760729100,
